id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
8624336,01003114119000071000000000O5,MICHOACANEJO S DE RL MI DE CV,MICHOACANEJO S DE RL MI DE CV,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,CALLE,VIRCUMVALACIÓN,CALLE,NARDOS,AVENIDA,LAS FLORES,CALLE,GARDENIA,304,,,,0,,LOCALIDAD,EL SALITRE,,,,20860,1,AGUASCALIENTES,3,Calvillo,79,El Salitre,83,2,4951328371,,,Fijo,21.82179538,-102.7649463,2019-11
9223168,01001114119000101000000000A4,"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",SOCIEDAD COOPERATIVA SC DE RL DE CV,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,CALLE,TAMPICO,CALLE,ALVARO OBREGON,CALLE,EMILIANO ZAPATA,OTRO (ESPECIFIQUE),NINGUNO,510,,,,,,LOCALIDAD,LOS CAÑOS,,,,20346,1,AGUASCALIENTES,1,Aguascalientes,127,Los Caños,1068,10,4495444405,,,Fijo,21.78209919,-102.4691364,2020-04
9223169,01001114119000111000000000A3,"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",SOCIEDAD COOPERATIVA SC DE RL DE CV,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,CALLE,TAMPICO,CALLE,ALVARO OBREGON,CALLE,EMILIANO ZAPATA,OTRO (ESPECIFIQUE),NINGUNO,510,,,,,,LOCALIDAD,LOS CAÑOS,,,,20346,1,AGUASCALIENTES,1,Aguascalientes,127,Los Caños,1068,10,4495444405,,,Fijo,21.78209919,-102.4691364,2020-04
9223170,01001114119000121000000000A2,"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",SOCIEDAD COOPERATIVA SC DE RL DE CV,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,CALLE,TAMPICO,CALLE,ALVARO OBREGON,CALLE,EMILIANO ZAPATA,OTRO (ESPECIFIQUE),NINGUNO,510,,,,,,LOCALIDAD,LOS CAÑOS,,,,20346,1,AGUASCALIENTES,1,Aguascalientes,127,Los Caños,1068,10,4495444405,,,Fijo,21.78209919,-102.4691364,2020-04
9223172,01001114119000141000000000A0,"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",SOCIEDAD COOPERATIVA SC DE RL DE CV,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,CALLE,TAMPICO,CALLE,ALVARO OBREGON,CALLE,EMILIANO ZAPATA,OTRO (ESPECIFIQUE),NINGUNO,510,,,,,,LOCALIDAD,LOS CAÑOS,,,,20346,1,AGUASCALIENTES,1,Aguascalientes,127,Los Caños,1068,10,4495444405,,,Fijo,21.78209919,-102.4691364,2020-04
9223171,01001114119000131000000000A1,"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",SOCIEDAD COOPERATIVA SC DE RL DE CV,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,CALLE,CORREGIDORA,CALLE,20 DE NOVIEMBRE,CALLE,VENUSTIANO CARRANZA,CALLE,FRANCISCO I. MADERO,507,,,,,,RANCHERIA,CENTRO DE ARRIBA EL TARAY,,,,20376,1,AGUASCALIENTES,1,Aguascalientes,138,Centro de Arriba (El Taray),1176,6,4494906009,,,Fijo,21.73131484,-102.4995128,2020-04
9223166,01001114119000081000000000A8,"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",SOCIEDAD COOPERATIVA SAN JERONIMO SC DE RL,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,CALLE,EMILIANO ZAPATA ,CALLE,JOSE MARIA MORELOS,CALLE,EJIDAL,CALLE,INDEPENDENCIA,219,,,,0,,RANCHERIA,LOCALIDAD LUMBRERAS CIENEGUILLA,,,,20000,1,AGUASCALIENTES,1,Aguascalientes,139,Cieneguilla (La Lumbrera),1180,24,4492065341,,,Fijo,21.73692762,-102.4541347,2020-04
9223167,01001114119000091000000000A7,"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",SOCIEDAD COOPERATIVA SAN JERONIMO SC DE RL,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,CALLE,INDEPENDENCIA,CALLE,25 DE ABRIL,CALLE,IGNACIO ALLENDE,CALLE,INDEPENDENCIA,409,,,,0,,RANCHERIA,LOCALIDAD LUMBRERAS CIENEGUILLA,,,,20000,1,AGUASCALIENTES,1,Aguascalientes,139,Cieneguilla (La Lumbrera),1180,3,,,,Fijo,21.73282077,-102.4541269,2020-04
8443639,01007114119000032000000000O8,PESCADORES DEL JOCOQUI SPR DE RL,PESCADORES DEL JOCOQUI SPR DE RL,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,CALLE,4 DE ABRIL,CALLE,20 DE NOVIEMBRE,CALLE,EMILIANO ZAPATA,CALLE,BENITO JUAREZ,109,,,,0,,LOCALIDAD,ESTANCIA DE MOSQUEIRA,,,,20437,1,AGUASCALIENTES,7,Rincón de Romos,28,Estancia de Mosqueira,78,3,4651073201,,,Fijo,22.14202154,-102.352095,2019-11
8443592,01003114119000051000000000O7,PESCADORES DEL REFUGIO MALPASO S.P.R DE R.L,PESCADORES DEL REFUGIO MALPASO SPR DE RL,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,CALLE,NOGAL,CALLE,NOGAL,CALLE,NOGAL,CALLE,NOGAL,0,SN,,,0,,LOCALIDAD,MALPASO,,,,20800,1,AGUASCALIENTES,3,Calvillo,43,Malpaso,64,800,4951117670,,,Fijo,21.8595262,-102.6603777,2019-11
8443689,01003114119000061000000000O6,PESCADORES JJ RUIZ S DE RL MI DE CV,PESCADORES JJ RUIZ S DE RL MI DE CV,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,CALLE,LIBERTAD,CARRETERA,CARRETERA A LA LABOR,CALLE,CARR A LA LABOR,CARRETERA,CARR A LA LABOR,227,,,,0,,LOCALIDAD,CONGREGACION SAN TADEO,,,,20820,1,AGUASCALIENTES,3,Calvillo,84,San Tadeo,45,13,4951068482,,,Fijo,21.91972151,-102.701098,2019-11
6166245,01001114119000011000000000O5,PESQUERA PRESA SAN JERONIMO,SOCIEDAD COOPERATIVA SAN JERONIMO SC DE RL,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,CALLE,INDEPENDENCIA,CALLE,25 DE ABRIL,CALLE,IGNACIO ALLENDE,CALLE,INDEPENDENCIA,409,,,,,,RANCHERIA,LOCALIDAD LUMBRERAS CIENEGUILLA,,,,20000,1,AGUASCALIENTES,1,Aguascalientes,139,Cieneguilla (La Lumbrera),1180,2,,,,Fijo,21.7318,-102.4548,2010-07
8789655,01001112512000032000000000U9,"PISCICULTURA Y OTRA ACUICULTURA, EXCEPTO CAMARONICULTURA",,112512,"Piscicultura y otra acuicultura, excepto camaronicultura",0 a 5 personas,CARRETERA,NAYARIT,CARRETERA,A SAN LUIS POTOSI,CARRETERA,A SAN LUIS POTOSI,CARRETERA,EL HOTELITO,0,KM,1,10,7,,ZONA FEDERAL,EJIDO DE NORIAS PASO HONDO,,,,20344,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,962,5,4491067898,HACECA1@PRODIGY.NET.MX,,Fijo,21.85702149,-102.2800591,2019-11
8901365,01001112512000052000000000O7,POTRERO SAN ANTONIO SPR DE RL,,112512,"Piscicultura y otra acuicultura, excepto camaronicultura",0 a 5 personas,CALLE,SAN JUAN DE LOS LAGOS,CALLE,TEPEZALA,CALLE,SAN MIGUEL EL ALTO,CALLE,SAN JULIAN,205,,,,,,COLONIA,SAN JOSE DEL ARENAL,,,,20130,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,2278,5,4491489381,,,Fijo,21.90830535,-102.3087644,2019-11
8838321,01001114119000072000000000O7,PRESA EL SAUCILLO SC DE RL DE CV,PRESA EL SAUCILLO SC DE RL DE CV,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",6 a 10 personas,CALLE,PUEBLA,CALLE,CALLEJON DE LOS REYES,CALLE,SINALOA,CALLE,LOPEZ PATEOS,107,,,,,,LOCALIDAD,EJIDO FRESNILLO,,,,20450,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,892,34,4651227901,,,Fijo,21.86982664,-102.2826619,2019-11
8765470,01001114119000031000000000O3,PRESA GUADALUPE (EL MUERTO),,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,OTRO (ESPECIFIQUE),SIN REFERENCIA,OTRO (ESPECIFIQUE),SIN REFERENCIA,OTRO (ESPECIFIQUE),SIN REFRENCIA,OTRO (ESPECIFIQUE),SIN REFERENCIA,0,,,,0,,EJIDO,PEÑUELAS EL CIENEGAL,,,,20396,1,AGUASCALIENTES,1,Aguascalientes,2399,Peñuelas [Rancho],127A,800,4499506314,,,Fijo,21.73480721,-102.2590706,2019-11
8754661,01001114119000041000000000O2,PRESA LOS CAÑOS (VENTANILLAS),SOCIEDAD COOPERATIVA PRESA LOS CAÑOS (VENTANILLAS) SC DE RL DE CV,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,CALLE,GUAYMAS ,CALLE,TAMPICO,OTRO (ESPECIFIQUE),SIN REFERENCIA ,OTRO (ESPECIFIQUE),N/A,311,,,,0,,LOCALIDAD,LO CAÑOS,,,,20346,1,AGUASCALIENTES,1,Aguascalientes,127,Los Caños,1068,73,4951020858,,,Fijo,21.77857794,-102.4701692,2019-11
9046074,01001114119000022000000000U2,RANCHO ACUICOLA EL INDIO,,112512,"Piscicultura y otra acuicultura, excepto camaronicultura",0 a 5 personas,CALLE,MAR CARIBE,CALLE,RIO BRAVO,AVENIDA,AGUASCALIENTES PONIENTE,CALLE,RIO NILO,125,,,,,,FRACCIONAMIENTO,COLINAS DEL RIO,,,,20010,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,2028,23,4493292415,JJESUSLR@LIVE.COM,,Fijo,21.89688223,-102.3182311,2019-11
6281678,01011541943000015111000000U1,SANIPOLLO,SANIPOLLO SA DE CV,115210,Servicios relacionados con la cría y explotación de animales,0 a 5 personas,AVENIDA,CARRETERA 19,CALLE,MAURO LOERA DANUSO,CALLE,NARCISO PERALES AVILA M.,OTRO (ESPECIFIQUE),ANDRES DELGADO,319,,,,0,,COLONIA,PROGRESO NORTE,,,,20686,1,AGUASCALIENTES,6,Pabellón de Arteaga,292,Río San Pedro [Colonia],13,800,4491422429,sanipollo@hotmail.com,,Fijo,22.14881449,-102.2651258,2010-07
8797184,01001115113000021000000000U6,SERVICIO DE LIMPIEZA,,115113,Beneficio de productos agrícolas,0 a 5 personas,CALLE,REGIDORES,CALLE,PRESIDENTES,CALLE,ESFUERZO NACIONAL,CALLE,SÍNDICOS,0,SN,,,0,,FRACCIONAMIENTO,MUNICIPIO LIBRE,,,,20199,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,2579,27,4491237930,,,Fijo,21.89327951,-102.262148,2019-11
8901375,01001114119000051000000000O1,SOCIEDAD COOPERATIVA PRESA EL TARAY,SOCIEDAD COOPERATIVA SC DE RL DE CV,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,CALLE,CORREGIDORA,CALLE,20 de Noviembre,CALLE,Venustiano Carranza,CALLE,Francisco I. Madero,507,,,,,,RANCHERIA,CENTRO DE ARRIBA EL TARAY,,,,20376,1,AGUASCALIENTES,1,Aguascalientes,138,Centro de Arriba (El Taray),1176,6,4494906009,,,Fijo,21.73131484,-102.4995128,2019-11
8838300,01001114119000061000000000O0,SOCIEDAD COOPERATIVA PRESA VENTAVILLAS,SOCIEDAD COOPERATIVA SC DE RL DE CV,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,CALLE,TAMPICO,CALLE,ALVARO OBREGON,CALLE,EMILIANO ZAPATA,OTRO (ESPECIFIQUE),NINGUNO,510,,,,,,LOCALIDAD,LOS CAÑOS,,,,20346,1,AGUASCALIENTES,1,Aguascalientes,127,Los Caños,1068,10,4495444405,,,Fijo,21.78209919,-102.4691364,2019-11
6166243,01008114119000013001000000O6,SOCIEDAD DE PESCA  COMERCIAL Y DEPORTIVA DE SAN JOSE DE GRACIA,SOCIEDAD PISCICOLA COMERCIAL Y DEPORTIVA DE SAN JOSE DE GRACIA S DE PR DE RL,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",11 a 30 personas,CALLE,JUN CRISTOBAL,CALLE,SIN REFERENCIA,CALLE,SIN REFERENCIA,CALLE,SIN REFERENCIA,,SN,,,,,LOCALIDAD,SAN JOSÉ DE GRACIA,,,,20576,1,AGUASCALIENTES,8,San José de Gracia,1,San José de Gracia,215,1,4651031431,,,Fijo,22.14469,-102.41026,2010-07
6252543,01001721190000012102000000U9,TURISTICA LOMA DE PIEDRA,TURISTICA LOMA DE PIEDRA SA DE CV,112512,"Piscicultura y otra acuicultura, excepto camaronicultura",6 a 10 personas,CALLE,MORELOS,CALLE,ALLENDE,CALLE,MARAVILLAS,CALLE,LIBERTAD,86,,,,,,COLONIA,MALPASO,,,,20834,1,AGUASCALIENTES,3,Calvillo,43,Malpaso,64,38,4951064891,CLAUDIA_PAO12@HOTMAIL.COM,,Fijo,21.86170583,-102.6651759,2014-12
8320509,02002115111000041000000000S5,ABOS ABS PROMOTORA DE MEXICO SADE CV,,115111,Servicios de fumigación agrícola,0 a 5 personas,CALLE,NINGUNO,CALLE,NINGUNO,CALLE,NINGUNO,OTRO (ESPECIFIQUE),NINGUNO,,SN,,,,,EJIDO,HERMOSILLO,,,,21840,2,BAJA CALIFORNIA,2,Mexicali,192,Ejido Hermosillo,8423,3,667603750,,,Fijo,32.52338716,-114.9177777,2019-11
8838283,02001112512000434000000000U6,ABULONES CULTIVADOS,ABULONES CULTIVADOS S DE RL DE CV,112512,"Piscicultura y otra acuicultura, excepto camaronicultura",11 a 30 personas,CALLE,Lázaro Cárdenas,CALLE,Macheros,AVENIDA,Miramar,CALLE,Primera (Adolfo López Mateos),187,B,,,0,,COLONIA,ZONA CENTRO,,,,22800,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,717,16,,MANAGER@ABULONES.COM,WWW.ABULONES.COM,Fijo,31.8621572,-116.6267073,2019-11
6166342,02001112512000205010000000U0,ACUACULTURA DE BAJA CALIFORNIA SA DE CV,ACUACULTURA DE BAJA CALIFORNIA ,112512,"Piscicultura y otra acuicultura, excepto camaronicultura",51 a 100 personas,,PRIMERA,,,,,,,249,,,,,,OTRO (ESPECIFIQUE),,,,,,2,BAJA CALIFORNIA,1,Ensenada,247,El Sauzal de Rodríguez,308,10,,MONTERRUBIOJESUS@PRODIGY.NET.MX,,Fijo,31.89526358,-116.6979015,2010-07
6166436,02001114119002081010000000U5,ACUACULTURA OCEANICA,ACUACULTURA OCEANICA S DE RL MI,112512,"Piscicultura y otra acuicultura, excepto camaronicultura",0 a 5 personas,AVENIDA,TENIENTE AZUETA,ANDADOR,NINGUNO,ANDADOR,NINGUNO,AVENIDA,LA MARINA,187,B,,,,,COLONIA,ZONA CENTRO,,,,22800,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,632,19,,SGUEVARAE@HOTMAIL.COM,,Fijo,31.86157958,-116.6293061,2010-07
6166276,02002112511000072001000000O4,ACUAMOS SPR. DE RL.,ACUAMOS SPR DE RL,112511,Camaronicultura,31 a 50 personas,OTRO (ESPECIFIQUE),A SAN FELIPE,OTRO (ESPECIFIQUE),NINGUNO,CARRETERA,CARRETERA MEXICALI A SAN FELIPE,OTRO (ESPECIFIQUE),RIO HARDY,0,DOMICILIO CONOCIDO,,,0,,OTRO (ESPECIFIQUE),MOSQUEDA,,,,21075,2,BAJA CALIFORNIA,2,Mexicali,411,Campo Mozqueda (Colonia Terrenos Indios),3649,800,,FJ.MOSQUEDA@ACUAMOS.COM,,Fijo,32.15605843,-115.2792265,2014-12
6166498,02002112511000083001000000O1,ACUÍCOLA EL SAUZAL,,112511,Camaronicultura,6 a 10 personas,CARRETERA,REVOLUCION,CALLE,NINGUNO,CALLE,NINGUNO,CALLE,NINGUNO,0,DOMICILIO CONOCIDO,,,0,,EJIDO,SOMBRERETE 2,,,,22000,2,BAJA CALIFORNIA,2,Mexicali,243,Poblado Sombrerete,3672,800,6861852467,,,Fijo,32.166174,-115.0615812,2010-07
6166496,02002112511000053001000000U4,ACUICOLA PACAR SPR DE RL.,ACUICOLA PACAR SPR DE RL,112511,Camaronicultura,6 a 10 personas,OTRO (ESPECIFIQUE),NINGUNO,OTRO (ESPECIFIQUE),DREN EL CAIMAN,OTRO (ESPECIFIQUE),CANAL INDEPENDENCIA,OTRO (ESPECIFIQUE),NINGUNO,,DOMICILIO CONOCIDO,,,,,RANCHO,COLONIA CARRANZA,,,,21739,2,BAJA CALIFORNIA,2,Mexicali,106,Poblado el Caimán,3653,800,,SIQUERIOSMXL@HOTMAIL.COM,,Fijo,32.22506119,-115.192174,2010-07
6166439,02001112512000152001000000O4,ACUÍCOLA SAN QUINTIN,ACUÍCOLA SAN QUINTIN SA DE CV,112512,"Piscicultura y otra acuicultura, excepto camaronicultura",11 a 30 personas,CALLE,BRAULIO MALDONADO,CALLE,SIN NOMBRE,CALLE,SIN NOMBRE,CALLE,SIN NOMBRE,0,0,,,0,,EJIDO,NUEVO BAJA CALIFORNIA,,,,22930,2,BAJA CALIFORNIA,6,San Quintín,585,Lázaro Cárdenas                                                                                               ,520,4,,ACUICOLA_SQBC@YAHOO.COM.MX,,Fijo,30.52344061,-115.9354173,2010-07
6166487,02002112511000012001000000U0,ACUICOLA TRIPLEA,,112511,Camaronicultura,6 a 10 personas,OTRO (ESPECIFIQUE),CAMINO DE TERRACERIA,CARRETERA,CARRRANZA A SOMBRERETE,OTRO (ESPECIFIQUE),CAMINO VECINAL SOBRE CANAL DE RIEGO,OTRO (ESPECIFIQUE),NINGUNO,,DOMICILIO CONOCIDO,,,,,COLONIA,VENUSTIANO CARRANZA,,,,21739,2,BAJA CALIFORNIA,2,Mexicali,1581,Los Ángulos (Colonia Venustiano Carranza),3653,800,,NORITA95@LIVE.COM,,Fijo,32.20725336,-115.1462315,2010-07
6166290,02001112512000281011000000U1,ADMINISTRADORA PESQUERA DEL NOROESTE SA DE CV,ADMINISTRADORA PESQUERA DEL NOROESTE SA DE CV,112512,"Piscicultura y otra acuicultura, excepto camaronicultura",6 a 10 personas,CALLE,SEIS,OTRO (ESPECIFIQUE),NINGUNO,OTRO (ESPECIFIQUE),NINGUNO,OTRO (ESPECIFIQUE),NINGUNO,0,,,,0,,COLONIA,EL SAUZAL DE RODRÍGUEZ,,,,22760,2,BAJA CALIFORNIA,1,Ensenada,247,El Sauzal de Rodríguez,7466,2,,NANCY.ORTEGA@BAJAAQUAFARMS.COM,,Fijo,31.89550547,-116.7050697,2014-12
8346295,02001115113000137000000000S9,AGRICOLA DOS MARES,AGRICOLA DOS MARES SC DE RL,115113,Beneficio de productos agrícolas,51 a 100 personas,CALLE,SINALOA,CALLE,RODOLFO SANCHEZ TABOADA,CALLE,BENITO JUAREZ,AVENIDA,19 DE MARZO,,SN,,,,,EJIDO,PUNTA COLONET,,,,22909,2,BAJA CALIFORNIA,1,Ensenada,186,Ejido México (Punta Colonet),9956,4,,,,Fijo,31.06657818,-116.2098943,2019-11
9323241,02001115113000191000023832S6,AGRICOLA LAS MONTANAS,AGRICOLA LAS MONTAÑAS SA DE CV,115113,Beneficio de productos agrícolas,0 a 5 personas,CARRETERA,CARRETERA TRANSPENINSULAR KILOMETRO 61,,SIN REFERENCIA,,SIN REFERENCIA,,NINGUNO,0,SN,,,0,,COLONIA,NUEVO URUAPAN,,,,,2,BAJA CALIFORNIA,6,San Quintín,630,Nuevo Uruapan                                                                                                 ,1069,26,,NMARTINEZ@ALM.COM.MX,,Fijo,30.08175193,-115.6916165,2020-11
